concept_en,pair_name,pair_class,src_lang,layer,donor_type,kl_to_native,english_first_step_mass
water,guj_to_tam,test_cross_script_cross_family,guj_Gujr,25,devanagari,0.0008160301174410726,0.3501690924167633
water,guj_to_tam,test_cross_script_cross_family,guj_Gujr,25,hindi,0.0018231543425741565,0.3486853539943695
water,guj_to_tam,test_cross_script_cross_family,guj_Gujr,26,native,0.0,0.355651319026947
water,guj_to_tam,test_cross_script_cross_family,guj_Gujr,26,roman,0.001357463763806046,0.360167920589447
water,guj_to_tam,test_cross_script_cross_family,guj_Gujr,26,devanagari,8.431214724338634e-05,0.3562856614589691
water,guj_to_tam,test_cross_script_cross_family,guj_Gujr,26,hindi,0.0010569655675809822,0.3529304265975952
water,guj_to_tam,test_cross_script_cross_family,guj_Gujr,27,native,0.0,0.364793062210083
water,guj_to_tam,test_cross_script_cross_family,guj_Gujr,27,roman,0.0,0.364793062210083
water,guj_to_tam,test_cross_script_cross_family,guj_Gujr,27,devanagari,0.0,0.364793062210083
water,guj_to_tam,test_cross_script_cross_family,guj_Gujr,27,hindi,0.0,0.364793062210083
sun,guj_to_tam,test_cross_script_cross_family,guj_Gujr,25,native,0.0,0.09987429529428482
sun,guj_to_tam,test_cross_script_cross_family,guj_Gujr,25,roman,0.0011691156091216846,0.11121409386396408
sun,guj_to_tam,test_cross_script_cross_family,guj_Gujr,25,devanagari,4.5061924393408276e-05,0.10139434039592743
sun,guj_to_tam,test_cross_script_cross_family,guj_Gujr,25,hindi,6.417889788807207e-05,0.10141757130622864
sun,guj_to_tam,test_cross_script_cross_family,guj_Gujr,26,native,0.0,0.09494748711585999
sun,guj_to_tam,test_cross_script_cross_family,guj_Gujr,26,roman,0.00042682456986749815,0.10164788365364075
sun,guj_to_tam,test_cross_script_cross_family,guj_Gujr,26,devanagari,7.413267232355509e-05,0.09775073081254959
sun,guj_to_tam,test_cross_script_cross_family,guj_Gujr,26,hindi,0.00016046687239092204,0.09919415414333344
sun,guj_to_tam,test_cross_script_cross_family,guj_Gujr,27,native,0.0,0.0808139219880104
sun,guj_to_tam,test_cross_script_cross_family,guj_Gujr,27,roman,0.0,0.0808139219880104
sun,guj_to_tam,test_cross_script_cross_family,guj_Gujr,27,devanagari,0.0,0.0808139219880104
sun,guj_to_tam,test_cross_script_cross_family,guj_Gujr,27,hindi,0.0,0.0808139219880104
moon,guj_to_tam,test_cross_script_cross_family,guj_Gujr,25,native,0.0,0.25737255811691284
moon,guj_to_tam,test_cross_script_cross_family,guj_Gujr,25,roman,0.002345353519794741,0.2861612141132355
moon,guj_to_tam,test_cross_script_cross_family,guj_Gujr,25,devanagari,0.0005488408124249654,0.26403889060020447
moon,guj_to_tam,test_cross_script_cross_family,guj_Gujr,25,hindi,0.0003051281681465789,0.262119323015213
moon,guj_to_tam,test_cross_script_cross_family,guj_Gujr,26,native,0.0,0.2467312067747116
